ZIP census tabulation area,ZIP Code name,Total population (2020 Census)
2367,"Plympton, MA",2930
2368,"Randolph, MA",35025
2370,"Rockland, MA",17803
2375,"South Easton, MA",10373
2379,"West Bridgewater, MA",7697
2382,"Whitman, MA",15121
2420,"Lexington, MA",15502
2421,"Lexington, MA",18950
2445,"Brookline, MA",22499
2446,"Brookline, MA",31957
2451,"Waltham, MA",17953
2452,"Waltham, MA",15340
2453,"Waltham, MA",31854
2457,"Babson Park, MA (PO boxes)",1560
2458,"Newton, MA",12817
2459,"Newton Center, MA",19017
2460,"Newtonville, MA",9204
2461,"Newton Highlands, MA",7430
2462,"Newton Lower Falls, MA",1569
2464,"Newton Upper Falls, MA",3193
2465,"West Newton, MA",12415
2466,"Auburndale, MA",8434
2467,"Chestnut Hill, MA",22626
2468,"Waban, MA",5713
2472,"Watertown, MA",35392
2474,"Arlington, MA",28551
2476,"Arlington, MA",17757
2478,"Belmont, MA",27286
2481,"Wellesley Hills, MA",17280
2482,"Wellesley, MA",10710
2492,"Needham, MA",21359
2493,"Weston, MA",11851
2494,"Needham Heights, MA",10732
2532,"Buzzards Bay, MA",13411
2534,"Cataumet, MA (PO boxes)",899
2535,"Chilmark, MA",1651
2536,"East Falmouth, MA",19993
2537,"East Sandwich, MA",6178
2538,"East Wareham, MA",4428
2539,"Edgartown, MA",5168
2540,"Falmouth, MA",8450
2542,"Buzzards Bay, MA",793
2543,"Woods Hole, MA",756
2553,"Monument Beach, MA (PO boxes)",164
2554,"Nantucket, MA",13517
2556,"North Falmouth, MA",3338
2557,"Oak Bluffs, MA (PO boxes)",2372
2558,"Onset, MA (PO boxes)",2178
2559,"Pocasset, MA",3388
2561,"Sagamore, MA (PO boxes)",712
2562,"Sagamore Beach, MA",3204
2563,"Sandwich, MA",10070
2564,"Siasconset, MA (PO boxes)",703
2568,"Vineyard Haven, MA",8172
2571,"Wareham, MA",10858
2575,"West Tisbury, MA (PO boxes)",3167
2576,"West Wareham, MA",3957
2584,"Nantucket, MA (PO boxes)",35
2601,"Hyannis, MA",16487
2630,"Barnstable, MA",1956
2631,"Brewster, MA",10178
2632,"Centerville, MA",11475
2633,"Chatham, MA",4664
2635,"Cotuit, MA",3632
2637,"Cummaquid, MA (PO boxes)",267
2638,"Dennis, MA",2968
2639,"Dennis Port, MA",3238
2641,"East Dennis, MA (PO boxes)",332
2642,"Eastham, MA",5752
2643,"East Orleans, MA (PO boxes)",13
2644,"Forestdale, MA",3954
2645,"Harwich, MA",10436
2646,"Harwich Port, MA",1926
2647,"Hyannis Port, MA (PO boxes)",136
2648,"Marstons Mills, MA",7325
2649,"Mashpee, MA",15060
2650,"North Chatham, MA",829
2652,"North Truro, MA (PO boxes)",1402
2653,"Orleans, MA",6307
2655,"Osterville, MA",3591
2657,"Provincetown, MA",3664
2659,"South Chatham, MA",1100
2660,"South Dennis, MA",6662
2663,"South Wellfleet, MA (PO boxes)",257
2664,"South Yarmouth, MA",9935
2666,"Truro, MA (PO boxes)",1052
2667,"Wellfleet, MA",3309
2668,"West Barnstable, MA",3222
2670,"West Dennis, MA",1463
2671,"West Harwich, MA",1216
2672,"West Hyannisport, MA (PO boxes)",297
2673,"West Yarmouth, MA",8892
2675,"Yarmouth Port, MA",6712
2702,"Assonet, MA",4267
2703,"Attleboro, MA",46389
2713,"Cuttyhunk, MA (PO boxes)",39
2715,"Dighton, MA",4036
2717,"East Freetown, MA",4951
2718,"East Taunton, MA",6882
2719,"Fairhaven, MA",15924
2720,"Fall River, MA",31209
2721,"Fall River, MA",28075
2723,"Fall River, MA",16084
2724,"Fall River, MA",18050
2725,"Somerset, MA",2632
2726,"Somerset, MA",15671
2738,"Marion, MA",5347
2739,"Mattapoisett, MA",6508
2740,"New Bedford, MA",45166
2743,"Acushnet, MA",10434
2744,"New Bedford, MA",13055
2745,"New Bedford, MA",25336
2746,"New Bedford, MA",17355
2747,"North Dartmouth, MA",22326
2748,"South Dartmouth, MA",11888
2760,"North Attleboro, MA",28716
2762,"Plainville, MA",9945
2763,"Attleboro Falls, MA",2118
2764,"North Dighton, MA",4081
2766,"Norton, MA",19202
2767,"Raynham, MA",15376
2769,"Rehoboth, MA",12521
2770,"Rochester, MA",5560
2771,"Seekonk, MA",15512
2777,"Swansea, MA",17133
2779,"Berkley, MA",6764
2780,"Taunton, MA",52299
2790,"Westport, MA",16458
2791,"Westport Point, MA (PO boxes)",312
2802,"Albion, RI (PO boxes)",814
2804,"Ashaway, RI",2782
2806,"Barrington, RI",17153
2807,"Block Island, RI (PO boxes)",1410
2808,"Bradford, RI",2332
2809,"Bristol, RI",22493
2812,"Carolina, RI",1220
2813,"Charlestown, RI",8021
2814,"Chepachet, RI",7549
2815,"Clayville, RI",247
2816,"Coventry, RI",33206
2817,"West Greenwich, RI",6528
2818,"East Greenwich, RI",19907
2822,"Exeter, RI",5960
2823,"Fiskeville, RI (PO boxes)",151
2824,"Forestdale, RI (PO boxes)",404
2825,"Foster, RI",5265
2826,"Glendale, RI (PO boxes)",822
2827,"Greene, RI",2224
2828,"Greenville, RI",7469
2829,"Harmony, RI (PO boxes)",122
2830,"Harrisville, RI",6474
2831,"Hope, RI",3860
2832,"Hope Valley, RI",4887
2833,"Hopkinton, RI",469
2835,"Jamestown, RI",5559
2836,"Kenyon, RI",158
2837,"Little Compton, RI",3616
2838,"Manville, RI",3801
2839,"Mapleville, RI",1870
2840,"Newport, RI",23902
2841,"Newport, RI",1220
2842,"Middletown, RI",17115
2852,"North Kingstown, RI",23579
2857,"North Scituate, RI",8339
2858,"Oakland, RI",580
2859,"Pascoag, RI",6701
2860,"Pawtucket, RI",47894
2861,"Pawtucket, RI",27833
2863,"Central Falls, RI",22596
2864,"Cumberland, RI",36376
2865,"Lincoln, RI",17902
2871,"Portsmouth, RI",17640
2872,"Prudence Island, RI (PO boxes)",231
2873,"Rockville, RI (PO boxes)",266
2874,"Saunderstown, RI",6137
2875,"Shannock, RI",350
2876,"Slatersville, RI",753
2878,"Tiverton, RI",16359
2879,"Wakefield, RI",20982
2881,"Kingston, RI",8443
2882,"Narragansett, RI",12919
2885,"Warren, RI",11147
2886,"Warwick, RI",29373
2888,"Warwick, RI",19578
2889,"Warwick, RI",28277
2891,"Westerly, RI",21803
2892,"West Kingston, RI",5420
2893,"West Warwick, RI",31030
2894,"Wood River Junction, RI",814
2895,"Woonsocket, RI",43269
2896,"North Smithfield, RI",11154
2898,"Wyoming, RI",1887
2903,"Providence, RI",13264
2904,"Providence, RI",31542
2905,"Providence, RI",26334
2906,"Providence, RI",25559
2907,"Providence, RI",29827
2908,"Providence, RI",38507
2909,"Providence, RI",46119
2910,"Cranston, RI",21907
2911,"North Providence, RI",16384
2912,"Providence, RI",4739
2914,"East Providence, RI",22140
2915,"Riverside, RI",16603
2916,"Rumford, RI",8350
2917,"Smithfield, RI",14738
2918,"Providence, RI",3125
2919,"Johnston, RI",29473
2920,"Cranston, RI",37791
2921,"Cranston, RI",12406
3031,"Amherst, NH",11763
3032,"Auburn, NH",5930
3033,"Brookline, NH",5639
3034,"Candia, NH",4066
3036,"Chester, NH",5251
3037,"Deerfield, NH",4802
3038,"Derry, NH",34482
3042,"Epping, NH",7146
3043,"Francestown, NH",1610
3044,"Fremont, NH",4739
3045,"Goffstown, NH",14107
3046,"Dunbarton, NH",3005
3047,"Greenfield, NH",1727
3048,"Greenville, NH",3353
3049,"Hollis, NH",8342
3051,"Hudson, NH",25394
3052,"Litchfield, NH",8478
3053,"Londonderry, NH",25646
3054,"Merrimack, NH",26622
3055,"Milford, NH",16120
3057,"Mont Vernon, NH",2612
3060,"Nashua, NH",31251
3062,"Nashua, NH",28966
3063,"Nashua, NH",16036
3064,"Nashua, NH",15069
3070,"New Boston, NH",6134
3071,"New Ipswich, NH",5198
3076,"Pelham, NH",14222
3077,"Raymond, NH",10684
3079,"Salem, NH",30095
3082,"Lyndeborough, NH",1621
3084,"Temple, NH",1382
3086,"Wilton, NH",3982
3087,"Windham, NH",15817
3101,"Manchester, NH",3885
3102,"Manchester, NH",33396
3103,"Manchester, NH",38039
3104,"Manchester, NH",34324
3106,"Hooksett, NH",14799
3109,"Manchester, NH",10580
3110,"Bedford, NH",23322
3215,"Waterville Valley, NH (PO boxes)",510
3216,"Andover, NH",2327
3217,"Ashland, NH",1938
3218,"Barnstead, NH",1116
3220,"Belmont, NH",7368
3221,"Bradford, NH",2307
3222,"Bristol, NH",5743
3223,"Campton, NH",3410
3224,"Canterbury, NH",2368
3225,"Center Barnstead, NH",3799
3226,"Center Harbor, NH",1145
3227,"Center Sandwich, NH",1113
3229,"Contoocook, NH",5919
3230,"Danbury, NH",1256
3231,"East Andover, NH (PO boxes)",85
3233,"Elkins, NH",115
3234,"Epsom, NH",4817
3235,"Franklin, NH",8856
3237,"Gilmanton, NH",2478
3238,"Glencliff, NH (PO boxes)",44
3240,"Grafton, NH",1385
3241,"Hebron, NH",953
3242,"Henniker, NH",6185
3243,"Hill, NH",1076
3244,"Hillsborough, NH",8001
3245,"Holderness, NH",2017
3246,"Laconia, NH",16905
3249,"Gilford, NH",7698
3251,"Lincoln, NH",1631
3253,"Meredith, NH",6558
3254,"Moultonborough, NH",4910
3255,"Newbury, NH",2158
3256,"New Hampton, NH",2373
3257,"New London, NH",4513
3258,"Chichester, NH",2625
3259,"North Sandwich, NH",236
3260,"North Sutton, NH (PO boxes)",798
3261,"Northwood, NH",4685
3262,"North Woodstock, NH",1362
3263,"Pittsfield, NH",4094
3264,"Plymouth, NH",7054
3266,"Rumney, NH",2098
3268,"Salisbury, NH",1236
3269,"Sanbornton, NH",3026
3273,"South Sutton, NH (PO boxes)",259
3275,"Suncook, NH",11946
3276,"Tilton, NH",8766
3278,"Warner, NH",3126
3279,"Warren, NH",781
3280,"Washington, NH",1195
3281,"Weare, NH",9092
3282,"Wentworth, NH",845
3284,"Springfield, NH",902
3285,"Thornton, NH",2708
3287,"Wilmot, NH",1407
3290,"Nottingham, NH",5129
3291,"West Nottingham, NH",73
3293,"Woodstock, NH (PO boxes)",72
3301,"Concord, NH",33352
3303,"Concord, NH",16516
3304,"Bow, NH",8229
3307,"Loudon, NH",5600
3431,"Keene, NH",24978
3440,"Antrim, NH",2726
3441,"Ashuelot, NH",354
3442,"Bennington, NH",1501
